0,71;4,38E-12;2,24E-14;2,60E-14;4,43E-12;4,40E-12;6,49E-14;6,23E-14;4,53E-12;4,64E-12;4,90E-13;4,25E-13;5,56E-12;5,73E-12;2,38E-12;2,04E-12;1,01E-11
0,72;4,33E-12;2,23E-14;2,94E-14;4,38E-12;4,35E-12;6,21E-14;8,91E-14;4,51E-12;4,59E-12;4,59E-13;6,86E-13;5,73E-12;5,62E-12;2,23E-12;3,34E-12;1,12E-11
0,73;4,30E-12;2,03E-14;2,71E-14;4,35E-12;4,33E-12;4,69E-14;7,92E-14;4,45E-12;4,57E-12;3,13E-13;6,00E-13;5,48E-12;5,64E-12;1,50E-12;2,91E-12;1,00E-11
0,74;4,31E-12;1,96E-14;2,67E-14;4,35E-12;4,33E-12;3,95E-14;8,56E-14;4,46E-12;4,56E-12;2,39E-13;6,75E-13;5,48E-12;5,59E-12;1,12E-12;3,29E-12;1,00E-11
0,75;4,37E-12;2,15E-14;2,59E-14;4,42E-12;4,39E-12;6,51E-14;7,60E-14;4,53E-12;4,62E-12;5,01E-13;5,77E-13;5,70E-12;5,64E-12;2,44E-12;2,80E-12;1,09E-11
0,76;4,38E-12;1,86E-14;2,75E-14;4,43E-12;4,40E-12;4,22E-14;9,36E-14;4,54E-12;4,63E-12;2,79E-13;7,55E-13;5,67E-12;5,66E-12;1,33E-12;3,69E-12;1,07E-11
0,77;4,43E-12;1,91E-14;2,26E-14;4,48E-12;4,46E-12;4,11E-14;6,02E-14;4,56E-12;4,70E-12;2,61E-13;4,36E-13;5,40E-12;5,77E-12;1,24E-12;2,11E-12;9,11E-12
0,78;4,42E-12;1,73E-14;2,23E-14;4,46E-12;4,44E-12;2,49E-14;5,57E-14;4,52E-12;4,67E-12;1,00E-13;3,90E-13;5,15E-12;5,66E-12;4,34E-13;1,87E-12;7,97E-12
0,79;4,36E-12;1,71E-14;2,08E-14;4,40E-12;4,38E-12;3,19E-14;3,88E-14;4,45E-12;4,60E-12;1,79E-13;2,19E-13;5,00E-12;5,59E-12;8,35E-13;1,02E-12;7,45E-12
0,80;4,38E-12;1,64E-14;2,07E-14;4,42E-12;4,41E-12;2,61E-14;3,18E-14;4,46E-12;4,62E-12;1,23E-13;1,42E-13;4,89E-12;5,59E-12;5,54E-13;6,31E-13;6,77E-12
0,81;4,29E-12;1,68E-14;2,17E-14;4,33E-12;4,32E-12;2,68E-14;2,63E-14;4,37E-12;4,55E-12;1,27E-13;7,26E-14;4,75E-12;5,58E-12;5,72E-13;2,78E-13;6,43E-12
