zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 0,1A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;1,46E-10;6,94E-12;1,73E-12;1,55E-10;1,42E-09;6,92E-11;1,70E-11;1,50E-09;1,41E-08;6,91E-10;1,70E-10;1,50E-08;7,06E-08;3,46E-09;8,49E-10;7,49E-08
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,46;4,51E-12;1,62E-14;2,23E-14;4,55E-12;5,17E-12;1,62E-14;2,23E-14;5,21E-12;1,18E-11;1,62E-14;2,23E-14;1,18E-11;4,13E-11;1,62E-14;2,23E-14;4,13E-11
0,47;4,60E-12;1,28E-14;2,14E-14;4,63E-12;5,34E-12;1,28E-14;2,14E-14;5,37E-12;1,27E-11;1,28E-14;2,14E-14;1,28E-11;4,56E-11;1,28E-14;2,14E-14;4,56E-11
0,48;4,67E-12;1,35E-14;2,36E-14;4,70E-12;5,08E-12;1,35E-14;2,36E-14;5,11E-12;9,17E-12;1,35E-14;2,36E-14;9,21E-12;2,74E-11;1,35E-14;2,36E-14;2,74E-11
0,49;4,76E-12;1,78E-14;1,80E-14;4,79E-12;5,03E-12;1,78E-14;1,80E-14;5,06E-12;7,71E-12;1,78E-14;1,80E-14;7,74E-12;1,96E-11;1,78E-14;1,80E-14;1,97E-11
0,50;4,67E-12;1,46E-14;2,25E-14;4,70E-12;4,91E-12;1,46E-14;2,25E-14;4,95E-12;7,40E-12;1,46E-14;2,25E-14;7,44E-12;1,84E-11;1,46E-14;2,25E-14;1,85E-11
0,51;4,45E-12;1,26E-14;1,97E-14;4,49E-12;4,45E-12;1,26E-14;1,97E-14;4,49E-12;4,45E-12;1,26E-14;1,97E-14;4,49E-12;4,45E-12;1,26E-14;1,97E-14;4,49E-12
0,52;4,39E-12;2,03E-14;2,29E-14;4,43E-12;4,86E-12;2,03E-14;2,29E-14;4,91E-12;9,60E-12;2,03E-14;2,29E-14;9,64E-12;3,07E-11;2,03E-14;2,29E-14;3,07E-11
0,53;4,59E-12;1,37E-14;1,86E-14;4,62E-12;4,73E-12;1,37E-14;1,86E-14;4,76E-12;6,14E-12;1,37E-14;1,86E-14;6,17E-12;1,24E-11;1,37E-14;1,86E-14;1,24E-11
0,54;4,67E-12;1,58E-14;2,03E-14;4,70E-12;4,93E-12;1,58E-14;2,03E-14;4,97E-12;7,57E-12;1,58E-14;2,03E-14;7,61E-12;1,93E-11;1,58E-14;2,03E-14;1,93E-11
0,55;4,58E-12;1,44E-14;1,96E-14;4,61E-12;4,67E-12;1,44E-14;1,96E-14;4,70E-12;5,53E-12;1,44E-14;1,96E-14;5,57E-12;9,39E-12;1,44E-14;1,96E-14;9,42E-12
