zero of S position (m) defined 2m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (4BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;5,08E-12;2,84E-14;3,51E-14;5,14E-12;6,61E-12;4,06E-14;4,65E-14;6,70E-12;2,20E-11;1,63E-13;1,61E-13;2,23E-11;9,02E-11;7,06E-13;6,67E-13;9,16E-11
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
1,04;4,52E-12;2,22E-14;2,93E-14;4,57E-12;4,52E-12;2,92E-14;6,59E-14;4,62E-12;4,55E-12;9,90E-14;4,31E-13;5,08E-12;4,67E-12;4,09E-13;2,06E-12;7,13E-12
1,05;4,49E-12;2,04E-14;2,68E-14;4,54E-12;4,50E-12;2,30E-14;4,58E-14;4,56E-12;4,52E-12;4,89E-14;2,35E-13;4,81E-12;4,64E-12;1,64E-13;1,08E-12;5,88E-12
1,06;4,46E-12;2,01E-14;2,48E-14;4,51E-12;4,47E-12;2,48E-14;3,18E-14;4,52E-12;4,49E-12;7,20E-14;1,02E-13;4,66E-12;4,61E-12;2,81E-13;4,13E-13;5,30E-12
1,07;4,50E-12;2,11E-14;2,40E-14;4,55E-12;4,51E-12;3,06E-14;2,43E-14;4,56E-12;4,53E-12;1,26E-13;2,77E-14;4,69E-12;4,65E-12;5,51E-13;4,29E-14;5,25E-12
1,08;4,49E-12;1,98E-14;2,49E-14;4,54E-12;4,50E-12;2,67E-14;3,58E-14;4,56E-12;4,52E-12;9,54E-14;1,45E-13;4,76E-12;4,65E-12;4,01E-13;6,28E-13;5,68E-12
1,09;4,52E-12;1,99E-14;2,52E-14;4,57E-12;4,52E-12;2,41E-14;2,98E-14;4,58E-12;4,55E-12;6,66E-14;7,61E-14;4,69E-12;4,67E-12;2,55E-13;2,82E-13;5,21E-12
1,10;4,59E-12;2,03E-14;2,45E-14;4,63E-12;4,59E-12;2,67E-14;2,58E-14;4,64E-12;4,62E-12;9,14E-14;3,93E-14;4,75E-12;4,75E-12;3,79E-13;9,90E-14;5,22E-12
1,11;4,65E-12;2,01E-14;2,48E-14;4,70E-12;4,66E-12;2,51E-14;3,44E-14;4,72E-12;4,68E-12;7,56E-14;1,31E-13;4,89E-12;4,81E-12;3,00E-13;5,60E-13;5,67E-12
1,12;4,75E-12;2,05E-14;2,62E-14;4,80E-12;4,75E-12;2,55E-14;5,12E-14;4,83E-12;4,78E-12;7,54E-14;3,01E-13;5,16E-12;4,91E-12;2,97E-13;1,41E-12;6,62E-12
1,13;4,68E-12;2,00E-14;2,60E-14;4,73E-12;4,69E-12;2,42E-14;4,21E-14;4,75E-12;4,72E-12;6,60E-14;2,03E-13;4,98E-12;4,84E-12;2,52E-13;9,18E-13;6,01E-12
