zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;6,58E-12;4,60E-14;5,60E-14;6,68E-12;1,03E-11;5,76E-14;5,65E-14;1,04E-11;4,72E-11;1,74E-13;6,16E-14;4,74E-11;2,11E-10;6,91E-13;8,44E-14;2,12E-10
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,75;4,44E-12;2,05E-14;2,74E-14;4,48E-12;4,44E-12;2,05E-14;2,74E-14;4,48E-12;4,44E-12;2,05E-14;2,74E-14;4,48E-12;4,44E-12;2,05E-14;2,74E-14;4,49E-12
0,76;4,71E-12;1,81E-14;2,38E-14;4,75E-12;4,71E-12;1,81E-14;2,38E-14;4,75E-12;4,71E-12;1,81E-14;2,38E-14;4,75E-12;4,71E-12;1,81E-14;2,38E-14;4,75E-12
0,77;4,38E-12;1,76E-14;2,39E-14;4,42E-12;4,38E-12;1,76E-14;2,39E-14;4,42E-12;4,38E-12;1,76E-14;2,39E-14;4,42E-12;4,41E-12;1,77E-14;2,39E-14;4,45E-12
0,78;4,74E-12;1,73E-14;2,52E-14;4,79E-12;4,74E-12;1,73E-14;2,52E-14;4,79E-12;4,75E-12;1,73E-14;2,52E-14;4,79E-12;4,76E-12;1,73E-14;2,52E-14;4,80E-12
0,79;4,53E-12;1,52E-14;2,14E-14;4,57E-12;4,53E-12;1,52E-14;2,14E-14;4,57E-12;4,53E-12;1,52E-14;2,14E-14;4,57E-12;4,53E-12;1,52E-14;2,14E-14;4,57E-12
0,80;4,25E-12;1,84E-14;2,37E-14;4,30E-12;4,25E-12;1,84E-14;2,37E-14;4,30E-12;4,26E-12;1,84E-14;2,37E-14;4,30E-12;4,28E-12;1,84E-14;2,37E-14;4,32E-12
0,81;4,60E-12;1,56E-14;2,56E-14;4,65E-12;4,60E-12;1,56E-14;2,56E-14;4,65E-12;4,61E-12;1,57E-14;2,56E-14;4,65E-12;4,61E-12;1,57E-14;2,56E-14;4,65E-12
0,82;4,66E-12;1,37E-14;2,67E-14;4,70E-12;4,66E-12;1,37E-14;2,67E-14;4,70E-12;4,66E-12;1,37E-14;2,67E-14;4,70E-12;4,66E-12;1,37E-14;2,67E-14;4,70E-12
0,83;4,80E-12;1,67E-14;2,53E-14;4,85E-12;4,80E-12;1,67E-14;2,53E-14;4,85E-12;4,80E-12;1,67E-14;2,53E-14;4,85E-12;4,80E-12;1,68E-14;2,53E-14;4,85E-12
0,84;4,67E-12;1,73E-14;2,54E-14;4,71E-12;4,67E-12;1,73E-14;2,54E-14;4,71E-12;4,67E-12;1,74E-14;2,54E-14;4,71E-12;4,67E-12;1,74E-14;2,54E-14;4,71E-12
0,85;4,60E-12;1,64E-14;2,48E-14;4,64E-12;4,60E-12;1,64E-14;2,48E-14;4,64E-12;4,60E-12;1,64E-14;2,48E-14;4,64E-12;4,60E-12;1,65E-14;2,48E-14;4,64E-12
0,86;4,72E-12;2,23E-14;2,53E-14;4,77E-12;4,72E-12;2,23E-14;2,53E-14;4,77E-12;4,72E-12;2,23E-14;2,53E-14;4,77E-12;4,72E-12;2,23E-14;2,53E-14;4,77E-12
0,87;4,83E-12;1,85E-14;2,40E-14;4,88E-12;4,83E-12;1,85E-14;2,40E-14;4,88E-12;4,83E-12;1,85E-14;2,40E-14;4,88E-12;4,83E-12;1,85E-14;2,40E-14;4,88E-12
0,88;4,70E-12;2,13E-14;2,74E-14;4,75E-12;4,70E-12;2,13E-14;2,74E-14;4,75E-12;4,70E-12;2,13E-14;2,74E-14;4,75E-12;4,70E-12;2,13E-14;2,74E-14;4,75E-12
0,89;4,33E-12;1,62E-14;2,79E-14;4,37E-12;4,33E-12;1,62E-14;2,79E-14;4,37E-12;4,33E-12;1,62E-14;2,79E-14;4,38E-12;4,34E-12;1,62E-14;2,79E-14;4,38E-12
0,90;4,79E-12;2,17E-14;1,90E-14;4,83E-12;4,79E-12;2,17E-14;1,90E-14;4,83E-12;4,79E-12;2,17E-14;1,90E-14;4,83E-12;4,79E-12;2,17E-14;1,90E-14;4,83E-12
0,91;4,42E-12;1,28E-14;2,58E-14;4,46E-12;4,42E-12;1,28E-14;2,58E-14;4,46E-12;4,42E-12;1,28E-14;2,58E-14;4,46E-12;4,44E-12;1,28E-14;2,58E-14;4,48E-12
0,92;4,41E-12;1,61E-14;1,91E-14;4,44E-12;4,41E-12;1,61E-14;1,91E-14;4,44E-12;4,41E-12;1,61E-14;1,91E-14;4,45E-12;4,42E-12;1,61E-14;1,91E-14;4,46E-12
0,93;4,42E-12;1,95E-14;2,26E-14;4,46E-12;4,42E-12;1,95E-14;2,26E-14;4,46E-12;4,42E-12;1,95E-14;2,26E-14;4,46E-12;4,42E-12;1,95E-14;2,26E-14;4,47E-12
0,94;4,60E-12;2,07E-14;2,64E-14;4,65E-12;4,60E-12;2,07E-14;2,64E-14;4,65E-12;4,61E-12;2,07E-14;2,64E-14;4,65E-12;4,62E-12;2,07E-14;2,64E-14;4,67E-12
0,95;4,58E-12;2,09E-14;2,94E-14;4,63E-12;4,58E-12;2,09E-14;2,94E-14;4,63E-12;4,58E-12;2,09E-14;2,94E-14;4,63E-12;4,59E-12;2,09E-14;2,94E-14;4,64E-12
0,96;4,49E-12;1,90E-14;2,64E-14;4,53E-12;4,49E-12;1,90E-14;2,64E-14;4,54E-12;4,50E-12;1,90E-14;2,64E-14;4,54E-12;4,52E-12;1,90E-14;2,64E-14;4,57E-12
0,97;4,56E-12;2,19E-14;2,39E-14;4,61E-12;4,56E-12;2,19E-14;2,39E-14;4,61E-12;4,57E-12;2,19E-14;2,39E-14;4,61E-12;4,59E-12;2,19E-14;2,39E-14;4,64E-12
0,98;4,27E-12;1,77E-14;2,06E-14;4,31E-12;4,28E-12;1,77E-14;2,06E-14;4,31E-12;4,29E-12;1,77E-14;2,06E-14;4,32E-12;4,33E-12;1,77E-14;2,06E-14;4,37E-12
